target_id,seed,N,drift_level,final_fidelity_RL_adaptive,final_fidelity_XYZ_interleaved,tracking_fidelity_RL_adaptive,tracking_fidelity_XYZ_interleaved,delta_final_fidelity,delta_tracking_fidelity
13,0,50,0.0,0.9631616667941645,0.8736029073545902,0.7059294225393643,0.8942506607693141,0.08955875943957425,-0.18832123822994984
13,0,50,0.0025,0.9584351824149928,0.9028845365437072,0.8965621553941258,0.8766922029005082,0.055550645871285664,0.01986995249361756
13,0,50,0.005,0.9123435988552033,0.9364722290444591,0.89005492110183,0.8377497012656078,-0.024128630189255817,0.05230521983622227
13,0,50,0.01,0.9396666354260816,0.7067443724137965,0.778914091768424,0.8323873666098597,0.23292226301228514,-0.053473274841435714
14,0,10,0.0,0.33660172955433565,0.8386073730047823,0.23064583762398252,0.6177271544244438,-0.5020056434504466,-0.3870813168004613
14,0,10,0.0025,0.8153233626649723,0.8562840889538457,0.8320440708322622,0.6754742961271483,-0.04096072628887337,0.1565697747051139
14,0,10,0.005,0.7376828552864213,0.983829848985699,0.7254407851108305,0.8721989086033586,-0.24614699369927773,-0.14675812349252804
14,0,10,0.01,0.757612414210017,0.728149497182109,0.5654119798447562,0.6949290122837393,0.029462917027908042,-0.12951703243898305
14,0,25,0.0,0.9125285335330119,0.9512643329064827,0.8523226113739045,0.7729040799305545,-0.038735799373470825,0.07941853144334998
14,0,25,0.0025,0.7889689179087458,0.94712358384903,0.6991066678118671,0.8870939927281608,-0.15815466594028416,-0.18798732491629366
14,0,25,0.005,0.8528354029469861,0.690504138606855,0.4864108695290156,0.7260935945473119,0.16233126434013112,-0.23968272501829635
14,0,25,0.01,0.9052825939447556,0.9764033502815083,0.6202125864588993,0.7554855181031874,-0.07112075633675263,-0.1352729316442881
14,0,50,0.0,0.8635092925505846,0.9199587547867856,0.8561693519133144,0.786326038311271,-0.056449462236200953,0.06984331360204343
14,0,50,0.0025,0.9613241104104733,0.8019890992839408,0.7755155613447045,0.8423755788642618,0.15933501112653248,-0.06686001751955739
14,0,50,0.005,0.8730689492636314,0.8567919758953241,0.8205781976804067,0.8403053332288709,0.016276973368307357,-0.01972713554846417
14,0,50,0.01,0.9296638439018157,0.9140305668845634,0.8909752018444742,0.8170724779165459,0.015633277017252256,0.0739027239279283
15,0,10,0.0,0.5484764202174002,0.909581708436305,0.438375554112865,0.5859948248828698,-0.36110528821890486,-0.1476192707700048
15,0,10,0.0025,0.8656241396432303,0.7390716638002204,0.8444213692942768,0.6232265279465912,0.12655247584300988,0.22119484134768563
15,0,10,0.005,0.6181346816728579,0.7550871009243617,0.49924499323300414,0.48259675561153426,-0.1369524192515038,0.016648237621469886
15,0,10,0.01,0.7638889631691189,0.7035994855470745,0.8034172052920722,0.6807433852609733,0.060289477622044396,0.12267382003109883
15,0,25,0.0,0.9674769832752511,0.9731237860891312,0.9168362066028333,0.841347072297265,-0.005646802813880081,0.07548913430556825
15,0,25,0.0025,0.9049032010360817,0.8337464999358589,0.761668702932988,0.7262446484400649,0.07115670110022276,0.035424054492923185
15,0,25,0.005,0.7772007454677605,0.8254488405892106,0.6644060878416846,0.8045487471848441,-0.04824809512145012,-0.1401426593431595
15,0,25,0.01,0.8610851409021376,0.7621307588937011,0.609536090010733,0.5705390346068536,0.09895438200843654,0.03899705540387932
