target_id,seed,N,drift_level,method,final_fidelity,final_infidelity,tracking_fidelity,tracking_infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
2,0,10,0.005,ZX_interleaved,0.9644145621817611,0.03558543781823886,0.823955727836039,0.176044272163961,5,0,0,0,5,0,0,0,0
2,0,10,0.005,Z_only,0.4621012732745748,0.5378987267254252,0.4547717104214325,0.5452282895785675,10,0,0,0,0,0,0,0,0
2,0,10,0.005,Balanced_random,0.7638026065913247,0.2361973934086753,0.7920335129891425,0.20796648701085751,0,1,2,2,0,1,1,2,1
2,0,10,0.01,RL_adaptive,0.8803042018424867,0.1196957981575133,0.4936440592891794,0.5063559407108206,1,0,1,0,1,3,2,1,1
2,0,10,0.01,XYZ_interleaved,0.9600953550074055,0.039904644992594496,0.8065266286987699,0.1934733713012301,3,0,0,0,4,0,0,0,3
2,0,10,0.01,ZX_interleaved,0.5919657871791363,0.4080342128208637,0.5170988622980421,0.48290113770195786,5,0,0,0,5,0,0,0,0
2,0,10,0.01,Z_only,0.4698923362181134,0.5301076637818867,0.4038531535557599,0.5961468464442401,10,0,0,0,0,0,0,0,0
2,0,10,0.01,Balanced_random,0.7838235856471197,0.21617641435288026,0.6265661384770973,0.3734338615229027,1,2,1,2,1,0,1,2,0
2,0,25,0.0,RL_adaptive,0.4929313353727155,0.5070686646272845,0.7455779120586365,0.25442208794136345,1,7,0,7,1,0,0,0,9
2,0,25,0.0,XYZ_interleaved,0.8934810381929112,0.10651896180708875,0.7811725387683355,0.21882746123166452,8,0,0,0,9,0,0,0,8
2,0,25,0.0,ZX_interleaved,0.7768829924343561,0.2231170075656439,0.7966074000723983,0.20339259992760172,13,0,0,0,12,0,0,0,0
2,0,25,0.0,Z_only,0.5740014074624565,0.42599859253754346,0.5572873220353266,0.4427126779646734,25,0,0,0,0,0,0,0,0
2,0,25,0.0,Balanced_random,0.8249558127248517,0.17504418727514826,0.6627431983559394,0.3372568016440606,5,1,5,1,1,1,3,5,3
2,0,25,0.0025,RL_adaptive,0.9704025571051187,0.02959744289488131,0.8947288743768427,0.10527112562315732,1,6,0,6,2,0,0,0,10
2,0,25,0.0025,XYZ_interleaved,0.7599171058292176,0.24008289417078243,0.8760995266934698,0.1239004733065302,8,0,0,0,9,0,0,0,8
2,0,25,0.0025,ZX_interleaved,0.8664420013424557,0.13355799865754425,0.816052185111427,0.18394781488857304,13,0,0,0,12,0,0,0,0
2,0,25,0.0025,Z_only,0.3648986022674039,0.6351013977325961,0.4021933025257259,0.5978066974742742,25,0,0,0,0,0,0,0,0
2,0,25,0.0025,Balanced_random,0.8487320909435991,0.15126790905640086,0.738906599100022,0.261093400899978,2,1,3,4,1,2,5,2,5
2,0,25,0.005,RL_adaptive,0.9321799199894875,0.06782008001051254,0.8858587937997562,0.11414120620024382,3,4,0,8,1,0,0,1,8
