target_id,seed,N,method,true_theta,theta_hat,theta_error,fidelity,infidelity,z_counts_0,z_counts_1,x_counts_0,x_counts_1,reward
39,4,10,ZX_split,3.1429672169954475,3.9269908169872414,0.7840235999917939,0.8540390379867142,0.1459609620132858,0,5,0,5,
39,4,10,RL_adaptive,3.1429672169954475,3.9269908169872414,0.7840235999917939,0.8540390379867142,0.1459609620132858,0,9,0,1,0.8540390379867142
39,4,25,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,25,0,0,
39,4,25,ZX_split,3.1429672169954475,3.5087664874080122,0.36579927041256477,0.9669190819052861,0.03308091809471392,0,12,4,9,
39,4,25,RL_adaptive,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,1,12,12,0.9999995276439353
39,4,50,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,50,0,0,
39,4,50,ZX_split,3.1429672169954475,2.9441970937399127,0.19877012325553478,0.9901550876733665,0.009844912326633537,0,25,15,10,
39,4,50,RL_adaptive,3.1429672169954475,2.356194490192345,0.7867727268031026,0.8530670751874803,0.14693292481251974,0,49,1,0,0.8530670751874803
39,4,100,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,100,0,0,
39,4,100,ZX_split,3.1429672169954475,3.2610215796081317,0.1180543626126842,0.9965198365563892,0.0034801634436107953,0,50,22,28,
39,4,100,RL_adaptive,3.1429672169954475,3.9269908169872414,0.7840235999917939,0.8540390379867142,0.1459609620132858,0,99,0,1,0.8540390379867142
39,4,250,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,250,0,0,
39,4,250,ZX_split,3.1429672169954475,3.0221637275714546,0.12080348942399288,0.996356063947741,0.003643936052258989,0,125,70,55,
39,4,250,RL_adaptive,3.1429672169954475,3.0574544130586223,0.08551280393682514,0.998173003814497,0.0018269961855029715,0,1,135,114,0.998173003814497
39,4,500,Z_only,3.1429672169954475,3.141592653589793,0.0013745634056543388,0.9999995276439353,4.723560647068581e-07,0,500,0,0,
39,4,500,ZX_split,3.1429672169954475,3.2293665459170136,0.0863993289215661,0.9981349496161568,0.0018650503838432142,0,250,114,136,
39,4,500,RL_adaptive,3.1429672169954475,3.9269908169872414,0.7840235999917939,0.8540390379867142,0.1459609620132858,0,499,0,1,0.8540390379867142
40,0,10,Z_only,5.701417447607752,0.0,0.5817678595718343,0.9177462569740399,0.08225374302596011,10,0,0,0,
40,0,10,ZX_split,5.701417447607752,0.19739555984988072,0.7791634194217147,0.8557508195371946,0.14424918046280544,5,0,3,2,
40,0,10,RL_adaptive,5.701417447607752,5.373432149235376,0.32798529837237567,0.9733466365502296,0.02665336344977043,8,1,0,1,0.9733466365502296
40,0,25,Z_only,5.701417447607752,0.40271584158066176,0.9844837011524961,0.7766466290812138,0.22335337091878615,24,1,0,0,
40,0,25,ZX_split,5.701417447607752,5.850777531609048,0.1493600840012963,0.9944332516670727,0.005566748332927252,11,1,4,9,
40,0,25,RL_adaptive,5.701417447607752,5.81953769817878,0.11812025057102815,0.9965159553256931,0.003484044674306852,1,0,6,18,0.9965159553256931
40,0,50,Z_only,5.701417447607752,0.9272952180016121,1.5090630775734466,0.5308470229256887,0.46915297707431125,40,10,0,0,
40,0,50,ZX_split,5.701417447607752,5.662935821196765,0.03848162641098707,0.9996298367898111,0.00037016321018890075,23,2,5,20,
40,0,50,RL_adaptive,5.701417447607752,5.4091312619147,0.29228618569305187,0.9787938159985216,0.021206184001478445,45,4,0,1,0.9787938159985216
40,0,100,Z_only,5.701417447607752,0.5355266543143876,1.1172945138862218,0.719058029015781,0.280941970984219,93,7,0,0,
40,0,100,ZX_split,5.701417447607752,5.749477115540325,0.04805966793257266,0.9994226782139218,0.0005773217860781665,47,3,12,38,
40,0,100,RL_adaptive,5.701417447607752,0.8850668158886104,1.4668346754604444,0.5518872412445766,0.44811275875542345,90,9,1,0,0.5518872412445766
40,0,250,Z_only,5.701417447607752,0.5585961153385702,1.1403639749104046,0.7086318782546671,0.2913681217453329,231,19,0,0,
40,0,250,ZX_split,5.701417447607752,5.697342527487425,0.0040749201203267305,0.9999958487622475,4.151237752547665e-06,116,9,27,98,
40,0,250,RL_adaptive,5.701417447607752,5.8179325631207055,0.11651511551295357,0.9966098948435899,0.003390105156410139,1,0,62,187,0.9966098948435899
40,0,500,Z_only,5.701417447607752,0.6093853080307949,1.1911531676026295,0.6852945301828488,0.3147054698171512,455,45,0,0,
40,0,500,ZX_split,5.701417447607752,5.658076772946663,0.04334067466108937,0.9995304699845331,0.0004695300154669013,222,28,55,195,
40,0,500,RL_adaptive,5.701417447607752,5.4132068051339814,0.2882106424737705,0.979377005976702,0.020622994023298036,460,39,0,1,0.979377005976702
40,1,10,Z_only,5.701417447607752,0.6435011087932843,1.2252689683651186,0.6693464571351804,0.3306535428648196,9,1,0,0,
40,1,10,ZX_split,5.701417447607752,6.085789747329706,0.38437229972195386,0.9635169943247189,0.036483005675281066,5,0,2,3,
40,1,10,RL_adaptive,5.701417447607752,5.373432149235376,0.32798529837237567,0.9733466365502296,0.02665336344977043,8,1,0,1,0.9733466365502296
40,1,25,Z_only,5.701417447607752,0.5735131044230967,1.1552809639949313,0.7018307468652955,0.29816925313470455,23,2,0,0,
40,1,25,ZX_split,5.701417447607752,5.677640643574616,0.023776804033135868,0.9998586725558096,0.00014132744419037557,12,0,2,11,
40,1,25,RL_adaptive,5.701417447607752,5.639684198386302,0.06173324922144996,0.9990475540232833,0.0009524459767167315,1,0,3,21,0.9990475540232833
40,1,50,Z_only,5.701417447607752,0.6435011087932843,1.2252689683651186,0.6693464571351804,0.3306535428648196,45,5,0,0,
40,1,50,ZX_split,5.701417447607752,5.840811084202842,0.13939363659508963,0.9951502140029851,0.00484978599701491,22,3,8,17,
40,1,50,RL_adaptive,5.701417447607752,5.455259609162353,0.24615783844539862,0.9849279168596546,0.01507208314034536,47,2,0,1,0.9849279168596546
40,1,100,Z_only,5.701417447607752,0.5355266543143876,1.1172945138862218,0.719058029015781,0.280941970984219,93,7,0,0,
40,1,100,ZX_split,5.701417447607752,5.5602059537780955,0.14121149382965648,0.9950231069765717,0.004976893023428297,42,8,10,40,
40,1,100,RL_adaptive,5.701417447607752,5.385896877610461,0.3155205699972905,0.9753174844660566,0.024682515533943405,89,10,0,1,0.9753174844660566
