target_id,N,plane,inactive_fraction_q1,inactive_fraction_q2,inactive_fraction_mean
113,250,XZ,0.092,0.12,0.106
113,500,XZ,0.11,0.122,0.116
114,10,XY,0.3,0.3,0.3
114,25,XY,0.52,0.16,0.34
114,50,XY,0.18,0.16,0.17
114,100,XY,0.67,0.18,0.425
114,250,XY,0.172,0.592,0.382
114,500,XY,0.082,0.588,0.335
115,10,YZ,0.4,0.3,0.35
115,25,YZ,0.24,0.24,0.24
115,50,YZ,0.68,0.2,0.44
115,100,YZ,0.17,0.16,0.165
115,250,YZ,0.66,0.112,0.386
115,500,YZ,0.64,0.106,0.373
116,10,XY,0.3,0.4,0.35
116,25,XY,0.48,0.28,0.38
116,50,XY,0.18,0.18,0.18
116,100,XY,0.69,0.18,0.435
116,250,XY,0.164,0.592,0.378
116,500,XY,0.08,0.62,0.35
117,10,XY,0.4,0.3,0.35
117,25,XY,0.56,0.2,0.38
