target_id,seed,N,method,true_theta,true_phi,fidelity,infidelity,z_counts_0,z_counts_1,x_counts_0,x_counts_1,y_counts_0,y_counts_1,reward
40,1,10,RL_adaptive,2.7548726242541037,1.489907523868204,0.8657737609139654,0.1342262390860346,0,1,1,0,5,3,0.8657737609139654
40,1,25,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,0,25,0,0,0,0,
40,1,25,ZX_split,2.7548726242541037,1.489907523868204,0.9605429177265936,0.039457082273406385,0,12,6,7,0,0,
40,1,25,XYZ_split,2.7548726242541037,1.489907523868204,0.9817718702855306,0.01822812971446941,0,8,3,5,6,3,
40,1,25,RL_adaptive,2.7548726242541037,1.489907523868204,0.8415507967640206,0.15844920323597944,0,1,0,1,14,9,0.8415507967640206
40,1,50,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,1,49,0,0,0,0,
40,1,50,ZX_split,2.7548726242541037,1.489907523868204,0.9572151481438456,0.04278485185615444,1,24,11,14,0,0,
40,1,50,XYZ_split,2.7548726242541037,1.489907523868204,0.9064004648524483,0.0935995351475517,0,16,7,9,7,11,
40,1,50,RL_adaptive,2.7548726242541037,1.489907523868204,0.9825037166480277,0.017496283351972286,0,1,27,17,3,2,0.9825037166480277
40,1,100,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,3,97,0,0,0,0,
40,1,100,ZX_split,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,2,48,25,25,0,0,
40,1,100,XYZ_split,2.7548726242541037,1.489907523868204,0.9853884409882407,0.014611559011759256,0,33,15,18,20,14,
40,1,100,RL_adaptive,2.7548726242541037,1.489907523868204,0.9985048031596372,0.0014951968403628113,0,1,30,32,25,12,0.9985048031596372
40,1,250,Z_only,2.7548726242541037,1.489907523868204,0.9630755446462718,0.036924455353728236,6,244,0,0,0,0,
40,1,250,ZX_split,2.7548726242541037,1.489907523868204,0.9628527441801981,0.03714725581980194,5,120,67,58,0,0,
40,1,250,XYZ_split,2.7548726242541037,1.489907523868204,0.9992293542367491,0.0007706457632509212,7,76,43,40,54,30,
