N,degraded_noise,degraded_basis,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
25,0.15,Z,3.9213483146067416,4.685393258426966,0.9550561797752809,3.101123595505618,1.0674157303370786,4.707865168539326,1.4269662921348314,0.9101123595505618,4.224719101123595
25,0.2,X,3.1037735849056602,5.235849056603773,0.5849056603773585,3.5849056603773586,1.2641509433962264,5.19811320754717,0.6792452830188679,1.3867924528301887,3.9622641509433962
25,0.2,Y,2.912087912087912,4.032967032967033,1.5384615384615385,3.3516483516483517,1.1428571428571428,4.450549450549451,1.2307692307692308,1.2527472527472527,5.087912087912088
25,0.2,Z,4.019417475728155,5.067961165048544,0.7864077669902912,3.0097087378640777,1.058252427184466,4.475728155339806,1.6213592233009708,0.7281553398058253,4.233009708737864
25,0.25,X,2.3063063063063063,5.990990990990991,0.43243243243243246,4.099099099099099,1.2972972972972974,5.018018018018018,0.5495495495495496,1.5495495495495495,3.7567567567567566
25,0.25,Y,2.6989247311827955,3.5698924731182795,1.6666666666666667,3.043010752688172,1.118279569892473,4.78494623655914,1.4301075268817205,1.1397849462365592,5.548387096774194
25,0.25,Z,5.135416666666667,4.8125,0.7395833333333334,2.65625,1.0208333333333333,4.552083333333333,1.71875,0.5,3.8645833333333335
50,0.05,X,1.1782178217821782,17.06930693069307,2.099009900990099,1.4455445544554455,7.752475247524752,3.712871287128713,14.356435643564357,0.5346534653465347,1.8514851485148516
50,0.05,Y,1.075268817204301,17.032258064516128,1.7096774193548387,1.5268817204301075,7.978494623655914,3.967741935483871,13.817204301075268,0.5483870967741935,2.3440860215053765
50,0.05,Z,1.1037735849056605,17.132075471698112,2.0283018867924527,1.8773584905660377,7.518867924528302,3.641509433962264,13.971698113207546,0.6509433962264151,2.0754716981132075
50,0.1,X,1.101123595505618,17.707865168539325,1.6741573033707866,1.8314606741573034,7.617977528089888,3.943820224719101,13.438202247191011,0.550561797752809,2.134831460674157
50,0.1,Y,1.0841121495327102,16.233644859813083,2.0,1.3925233644859814,8.345794392523365,4.214953271028038,13.88785046728972,0.5981308411214953,2.2429906542056073
50,0.1,Z,1.0769230769230769,16.96153846153846,2.605769230769231,1.8653846153846154,8.067307692307692,2.701923076923077,14.375,0.4807692307692308,1.8653846153846154
50,0.15,X,1.0707070707070707,16.88888888888889,1.696969696969697,1.8383838383838385,8.909090909090908,3.6666666666666665,13.505050505050505,0.5555555555555556,1.8686868686868687
50,0.15,Y,1.1964285714285714,16.116071428571427,2.3214285714285716,1.1964285714285714,7.464285714285714,4.544642857142857,13.696428571428571,0.9732142857142857,2.4910714285714284
50,0.15,Z,1.0337078651685394,17.98876404494382,2.4157303370786516,2.269662921348315,6.775280898876405,2.853932584269663,14.303370786516854,0.3707865168539326,1.9887640449438202
50,0.2,X,1.009433962264151,16.79245283018868,1.650943396226415,2.0754716981132075,8.641509433962264,4.650943396226415,13.141509433962264,0.4339622641509434,1.6037735849056605
50,0.2,Y,1.1538461538461537,15.604395604395604,2.230769230769231,1.2967032967032968,7.8901098901098905,4.516483516483516,13.428571428571429,1.3076923076923077,2.5714285714285716
50,0.2,Z,1.087378640776699,18.21359223300971,2.3009708737864076,2.2427184466019416,6.660194174757281,2.941747572815534,14.504854368932039,0.3106796116504854,1.7378640776699028
50,0.25,X,1.045045045045045,17.117117117117118,1.3153153153153154,2.3423423423423424,9.288288288288289,4.594594594594595,12.26126126126126,0.5405405405405406,1.4954954954954955
50,0.25,Y,1.096774193548387,14.268817204301076,2.4408602150537635,0.8064516129032258,8.419354838709678,4.763440860215054,13.333333333333334,1.2580645161290323,3.6129032258064515
50,0.25,Z,1.0520833333333333,18.270833333333332,2.6354166666666665,2.9375,6.3125,2.46875,14.489583333333334,0.09375,1.7395833333333333
