target_id,seed,N,method,true_theta,true_phi,fidelity,infidelity,z_shots,x_shots,y_shots,z_counts_0,z_counts_1,x_counts_0,x_counts_1,y_counts_0,y_counts_1,reward
9,4,500,RL_adaptive,0.8314670505307366,3.4513340691031495,0.9989652990159773,0.0010347009840226962,141,177,182,115,26,26,151,76,106,0.9989652990159773
10,0,10,Z_only,0.5669664678179095,5.06993382436133,0.9217670450604193,0.07823295493958071,10,0,0,10,0,0,0,0,0,
10,0,10,ZX_split,0.5669664678179095,5.06993382436133,0.9298429524017394,0.07015704759826058,5,5,0,4,1,3,2,0,0,
10,0,10,XYZ_split,0.5669664678179095,5.06993382436133,0.8646893859330268,0.1353106140669732,3,3,4,3,0,3,0,2,2,
10,0,10,RL_adaptive,0.5669664678179095,5.06993382436133,0.9849730077168177,0.015026992283182272,3,3,4,3,0,2,1,0,4,0.9849730077168177
10,0,25,Z_only,0.5669664678179095,5.06993382436133,0.9217670450604193,0.07823295493958071,25,0,0,24,1,0,0,0,0,
10,0,25,ZX_split,0.5669664678179095,5.06993382436133,0.9297597119911553,0.07024028800884474,12,13,0,10,2,7,6,0,0,
10,0,25,XYZ_split,0.5669664678179095,5.06993382436133,0.973665362702251,0.026334637297748986,8,8,9,8,0,6,2,3,6,
10,0,25,RL_adaptive,0.5669664678179095,5.06993382436133,0.9681332009277867,0.03186679907221335,6,11,8,6,0,8,3,3,5,0.9681332009277867
10,0,50,Z_only,0.5669664678179095,5.06993382436133,0.9217670450604193,0.07823295493958071,50,0,0,47,3,0,0,0,0,
10,0,50,ZX_split,0.5669664678179095,5.06993382436133,0.8990166225751351,0.10098337742486485,25,25,0,21,4,11,14,0,0,
10,0,50,XYZ_split,0.5669664678179095,5.06993382436133,0.9915619467363602,0.008438053263639778,16,16,18,15,1,10,6,6,12,
10,0,50,RL_adaptive,0.5669664678179095,5.06993382436133,0.9959452209189102,0.004054779081089754,17,18,15,16,1,12,6,3,12,0.9959452209189102
10,0,100,Z_only,0.5669664678179095,5.06993382436133,0.9217670450604193,0.07823295493958071,100,0,0,94,6,0,0,0,0,
10,0,100,ZX_split,0.5669664678179095,5.06993382436133,0.91926977629217,0.08073022370783,50,50,0,41,9,33,17,0,0,
10,0,100,XYZ_split,0.5669664678179095,5.06993382436133,0.9765311967663572,0.023468803233642754,33,33,34,29,4,22,11,13,21,
10,0,100,RL_adaptive,0.5669664678179095,5.06993382436133,0.9877945042374844,0.012205495762515617,34,37,29,34,0,18,19,7,22,0.9877945042374844
10,0,250,Z_only,0.5669664678179095,5.06993382436133,0.9217670450604193,0.07823295493958071,250,0,0,231,19,0,0,0,0,
10,0,250,ZX_split,0.5669664678179095,5.06993382436133,0.9319910343743016,0.06800896562569836,125,125,0,117,8,76,49,0,0,
10,0,250,XYZ_split,0.5669664678179095,5.06993382436133,0.9896928913532818,0.010307108646718244,83,83,84,77,6,41,42,19,65,
10,0,250,RL_adaptive,0.5669664678179095,5.06993382436133,0.997868850050013,0.002131149949986977,79,82,89,77,2,51,31,24,65,0.997868850050013
10,0,500,Z_only,0.5669664678179095,5.06993382436133,0.9217670450604193,0.07823295493958071,500,0,0,468,32,0,0,0,0,
10,0,500,ZX_split,0.5669664678179095,5.06993382436133,0.9321082745874028,0.06789172541259725,250,250,0,230,20,148,102,0,0,
10,0,500,XYZ_split,0.5669664678179095,5.06993382436133,0.9947009539110937,0.005299046088906301,166,166,168,154,12,93,73,28,140,
10,0,500,RL_adaptive,0.5669664678179095,5.06993382436133,0.9992253778630774,0.000774622136922587,147,174,179,133,14,99,75,50,129,0.9992253778630774
10,1,10,Z_only,0.5669664678179095,5.06993382436133,0.9217670450604193,0.07823295493958071,10,0,0,10,0,0,0,0,0,
10,1,10,ZX_split,0.5669664678179095,5.06993382436133,0.9320079281927609,0.0679920718072391,5,5,0,5,0,3,2,0,0,
10,1,10,XYZ_split,0.5669664678179095,5.06993382436133,0.9430030924579188,0.0569969075420812,3,3,4,3,0,3,0,0,4,
10,1,10,RL_adaptive,0.5669664678179095,5.06993382436133,0.9298429524017394,0.07015704759826058,3,3,4,3,0,2,1,2,2,0.9298429524017394
10,1,25,Z_only,0.5669664678179095,5.06993382436133,0.9217670450604193,0.07823295493958071,25,0,0,25,0,0,0,0,0,
10,1,25,ZX_split,0.5669664678179095,5.06993382436133,0.9273918575657952,0.07260814243420477,12,13,0,12,0,9,4,0,0,
10,1,25,XYZ_split,0.5669664678179095,5.06993382436133,0.9672577910042777,0.03274220899572233,8,8,9,8,0,7,1,1,8,
10,1,25,RL_adaptive,0.5669664678179095,5.06993382436133,0.9730344778538124,0.026965522146187637,7,10,8,6,1,5,5,1,7,0.9730344778538124
10,1,50,Z_only,0.5669664678179095,5.06993382436133,0.9217670450604193,0.07823295493958071,50,0,0,47,3,0,0,0,0,
10,1,50,ZX_split,0.5669664678179095,5.06993382436133,0.932105271872277,0.06789472812772301,25,25,0,24,1,15,10,0,0,
10,1,50,XYZ_split,0.5669664678179095,5.06993382436133,0.9549794481579164,0.045020551842083645,16,16,18,15,1,6,10,3,15,
10,1,50,RL_adaptive,0.5669664678179095,5.06993382436133,0.9747106161361297,0.02528938386387025,18,17,15,16,2,11,6,6,9,0.9747106161361297
10,1,100,Z_only,0.5669664678179095,5.06993382436133,0.9217670450604193,0.07823295493958071,100,0,0,96,4,0,0,0,0,
10,1,100,ZX_split,0.5669664678179095,5.06993382436133,0.9176737743665323,0.0823262256334677,50,50,0,50,0,24,26,0,0,
10,1,100,XYZ_split,0.5669664678179095,5.06993382436133,0.9966579810322772,0.003342018967722793,33,33,34,29,4,18,15,8,26,
10,1,100,RL_adaptive,0.5669664678179095,5.06993382436133,0.9850314832549489,0.014968516745051064,34,37,29,33,1,28,9,6,23,0.9850314832549489
10,1,250,Z_only,0.5669664678179095,5.06993382436133,0.9217670450604193,0.07823295493958071,250,0,0,234,16,0,0,0,0,
10,1,250,ZX_split,0.5669664678179095,5.06993382436133,0.9319304194658845,0.06806958053411549,125,125,0,117,8,73,52,0,0,
10,1,250,XYZ_split,0.5669664678179095,5.06993382436133,0.9987281551495462,0.0012718448504538404,83,83,84,78,5,52,31,22,62,
10,1,250,RL_adaptive,0.5669664678179095,5.06993382436133,0.990237701374785,0.009762298625215049,83,78,89,76,7,52,26,28,61,0.990237701374785
10,1,500,Z_only,0.5669664678179095,5.06993382436133,0.9217670450604193,0.07823295493958071,500,0,0,468,32,0,0,0,0,
10,1,500,ZX_split,0.5669664678179095,5.06993382436133,0.928040189799774,0.07195981020022602,250,250,0,227,23,163,87,0,0,
10,1,500,XYZ_split,0.5669664678179095,5.06993382436133,0.9979098535302646,0.0020901464697353767,166,166,168,154,12,106,60,44,124,
