target_id,seed,N,method,true_theta1,true_phi1,true_theta2,true_phi2,fidelity,infidelity,z1_counts_0,z1_counts_1,x1_counts_0,x1_counts_1,y1_counts_0,y1_counts_1,z2_counts_0,z2_counts_1,x2_counts_0,x2_counts_1,y2_counts_0,y2_counts_1
41,3,250,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9434006772398221,0.05659932276017787,118,7,66,59,0,0,123,2,56,69,0,0
41,3,250,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9936217425233507,0.006378257476649329,77,6,39,44,32,52,81,2,44,39,34,50
41,3,500,Z_only,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,479,21,0,0,0,0,483,17,0,0,0,0
41,3,500,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9463103058620013,0.053689694137998734,242,8,120,130,0,0,246,4,133,117,0,0
41,3,500,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9970836260819739,0.0029163739180261272,160,6,89,77,61,107,164,2,83,83,64,104
41,4,10,Z_only,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,10,0,0,0,0,0,10,0,0,0,0,0
41,4,10,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9135638458357696,0.08643615416423045,5,0,3,2,0,0,4,1,2,3,0,0
41,4,10,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.832364432823152,0.16763556717684802,3,0,0,3,0,4,3,0,2,1,2,2
41,4,25,Z_only,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.947467694907959,0.05253230509204099,24,1,0,0,0,0,25,0,0,0,0,0
41,4,25,ZX_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9259132473893357,0.07408675261066433,11,1,5,8,0,0,12,0,6,7,0,0
41,4,25,XYZ_split,0.37094886259697263,4.77176556587801,0.2778503535632378,4.795023822575823,0.9986647234390612,0.0013352765609387918,8,0,4,4,3,6,8,0,4,4,3,6
