target_id,seed,N,theta1,phi1,theta2,phi2,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
16,1,500,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,Z_only,0.4866916706209537,0.5133083293790464,,,,,,,,,
16,1,500,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,ZX_split,0.9761119543301344,0.023888045669865576,,,,,,,,,
16,1,500,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,XYZ_split,0.9976942892036821,0.002305710796317917,,,,,,,,,
16,1,500,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,RL_adaptive,0.9967105508120939,0.0032894491879060794,31.0,33.0,27.0,85.0,4.0,80.0,137.0,48.0,55.0
16,2,10,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,Z_only,0.4866916706209537,0.5133083293790464,,,,,,,,,
16,2,10,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,ZX_split,0.9605604340925109,0.039439565907489094,,,,,,,,,
16,2,10,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,XYZ_split,0.8022387630039504,0.19776123699604964,,,,,,,,,
16,2,10,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,RL_adaptive,0.7779460130348499,0.2220539869651501,2.0,1.0,0.0,1.0,1.0,1.0,0.0,2.0,2.0
16,2,25,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,Z_only,0.4866916706209537,0.5133083293790464,,,,,,,,,
16,2,25,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,ZX_split,0.95846872882803,0.041531271171969975,,,,,,,,,
16,2,25,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,XYZ_split,0.8222300484819055,0.1777699515180945,,,,,,,,,
16,2,25,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,RL_adaptive,0.9349334462377537,0.06506655376224635,3.0,5.0,0.0,1.0,1.0,5.0,4.0,2.0,4.0
16,2,50,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,Z_only,0.4866916706209537,0.5133083293790464,,,,,,,,,
16,2,50,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,ZX_split,0.9707512439221303,0.029248756077869698,,,,,,,,,
16,2,50,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,XYZ_split,0.9727968148694645,0.027203185130535545,,,,,,,,,
16,2,50,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,RL_adaptive,0.8636942753170902,0.1363057246829098,14.0,1.0,0.0,4.0,11.0,1.0,0.0,10.0,9.0
16,2,100,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,Z_only,0.4866916706209537,0.5133083293790464,,,,,,,,,
16,2,100,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,ZX_split,0.97508761153662,0.024912388463379953,,,,,,,,,
16,2,100,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,XYZ_split,0.9872448517935796,0.01275514820642043,,,,,,,,,
16,2,100,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,RL_adaptive,0.9684450770216402,0.03155492297835982,11.0,2.0,5.0,6.0,5.0,39.0,10.0,15.0,7.0
16,2,250,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,Z_only,0.4866916706209537,0.5133083293790464,,,,,,,,,
16,2,250,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,ZX_split,0.9714783280231682,0.028521671976831753,,,,,,,,,
16,2,250,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,XYZ_split,0.9705987606787277,0.029401239321272254,,,,,,,,,
16,2,250,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,RL_adaptive,0.9967747304381478,0.0032252695618522065,17.0,43.0,6.0,75.0,59.0,0.0,22.0,0.0,28.0
16,2,500,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,Z_only,0.4866916706209537,0.5133083293790464,,,,,,,,,
16,2,500,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,ZX_split,0.9764282656630526,0.02357173433694737,,,,,,,,,
16,2,500,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,XYZ_split,0.9969482106216522,0.0030517893783478245,,,,,,,,,
16,2,500,1.9644078652296848,2.819266516396394,1.9900785576462474,3.230611084176188,RL_adaptive,0.9919634283369064,0.008036571663093572,33.0,19.0,39.0,74.0,10.0,83.0,147.0,53.0,42.0
17,0,10,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,Z_only,0.39035021504816086,0.6096497849518392,,,,,,,,,
17,0,10,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,ZX_split,0.9681046072935892,0.03189539270641084,,,,,,,,,
17,0,10,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,XYZ_split,0.4052671861122475,0.5947328138877526,,,,,,,,,
17,0,10,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,RL_adaptive,0.7672384118984726,0.23276158810152736,1.0,2.0,0.0,2.0,1.0,0.0,0.0,0.0,4.0
17,0,25,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,Z_only,0.39035021504816086,0.6096497849518392,,,,,,,,,
17,0,25,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,ZX_split,0.9499794058778067,0.050020594122193285,,,,,,,,,
17,0,25,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,XYZ_split,0.9395737801123898,0.06042621988761021,,,,,,,,,
17,0,25,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,RL_adaptive,0.8787990708766643,0.12120092912333569,3.0,4.0,0.0,1.0,4.0,4.0,5.0,1.0,3.0
17,0,50,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,Z_only,0.39035021504816086,0.6096497849518392,,,,,,,,,
17,0,50,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,ZX_split,0.9564439294646375,0.04355607053536248,,,,,,,,,
17,0,50,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,XYZ_split,0.9630089196387456,0.036991080361254425,,,,,,,,,
17,0,50,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,RL_adaptive,0.9533236467202948,0.04667635327970521,1.0,11.0,2.0,10.0,1.0,8.0,4.0,11.0,2.0
17,0,100,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,Z_only,0.39035021504816086,0.6096497849518392,,,,,,,,,
17,0,100,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,ZX_split,0.9568809912479523,0.04311900875204766,,,,,,,,,
17,0,100,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,XYZ_split,0.9904780914613661,0.009521908538633883,,,,,,,,,
17,0,100,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,RL_adaptive,0.960106274209833,0.039893725790167034,11.0,4.0,0.0,8.0,11.0,32.0,9.0,0.0,25.0
17,0,250,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,Z_only,0.39035021504816086,0.6096497849518392,,,,,,,,,
17,0,250,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,ZX_split,0.9697736592686382,0.030226340731361767,,,,,,,,,
17,0,250,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,XYZ_split,0.9890686880596914,0.010931311940308608,,,,,,,,,
17,0,250,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,RL_adaptive,0.988588676533016,0.011411323466984036,17.0,40.0,14.0,65.0,49.0,0.0,26.0,0.0,39.0
17,0,500,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,Z_only,0.39035021504816086,0.6096497849518392,,,,,,,,,
17,0,500,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,ZX_split,0.9732672932101349,0.026732706789865057,,,,,,,,,
17,0,500,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,XYZ_split,0.9966213432507387,0.0033786567492612996,,,,,,,,,
17,0,500,1.4181170546482842,0.015060703946734798,1.9340105592768169,3.485947566128062,RL_adaptive,0.9997200864666347,0.0002799135333653169,65.0,18.0,0.0,40.0,7.0,142.0,122.0,68.0,38.0
