target_id,seed,theta1,theta2,N,method,l1,kl
3,1,5.801547725061365,1.7377681925808202,25,Dirichlet(alpha=0.5),0.2566079028513268,0.07294333795024868
3,1,5.801547725061365,1.7377681925808202,50,MLE,0.14729010338552995,0.5637132658279889
3,1,5.801547725061365,1.7377681925808202,50,Dirichlet(alpha=0.5),0.14729010338552997,0.03285343243653948
3,1,5.801547725061365,1.7377681925808202,100,MLE,0.12729010338553,0.0082168761352157
3,1,5.801547725061365,1.7377681925808202,100,Dirichlet(alpha=0.5),0.12927413014320288,0.008893589548842874
3,1,5.801547725061365,1.7377681925808202,250,MLE,0.09129010338552995,0.013138794082617481
3,1,5.801547725061365,1.7377681925808202,250,Dirichlet(alpha=0.5),0.09173454782997445,0.012332446867942201
3,1,5.801547725061365,1.7377681925808202,500,MLE,0.062197095008154527,0.003232846921222529
3,1,5.801547725061365,1.7377681925808202,500,Dirichlet(alpha=0.5),0.06261143763763669,0.0030631597742481345
3,1,5.801547725061365,1.7377681925808202,1000,MLE,0.036237532480956396,0.002568526997676542
3,1,5.801547725061365,1.7377681925808202,1000,Dirichlet(alpha=0.5),0.03793413926738359,0.0027930613126641926
3,2,5.801547725061365,1.7377681925808202,10,MLE,0.5001376345626796,1.4296405592643713
3,2,5.801547725061365,1.7377681925808202,10,Dirichlet(alpha=0.5),0.3697085003769693,0.08959984898478505
3,2,5.801547725061365,1.7377681925808202,25,MLE,0.44619709500815463,0.8685876542381787
3,2,5.801547725061365,1.7377681925808202,25,Dirichlet(alpha=0.5),0.4254563542674139,0.1100297135817821
3,2,5.801547725061365,1.7377681925808202,50,MLE,0.34729010338553,0.06819074717785129
3,2,5.801547725061365,1.7377681925808202,50,Dirichlet(alpha=0.5),0.3498623654373204,0.07211551726431795
3,2,5.801547725061365,1.7377681925808202,100,MLE,0.07366527042916593,0.013186857320299582
3,2,5.801547725061365,1.7377681925808202,100,Dirichlet(alpha=0.5),0.08231596385350544,0.015063284971477143
3,2,5.801547725061365,1.7377681925808202,250,MLE,0.06962483295636404,0.0037249987385861057
3,2,5.801547725061365,1.7377681925808202,250,Dirichlet(alpha=0.5),0.06792502402045056,0.002961293830872164
3,2,5.801547725061365,1.7377681925808202,500,MLE,0.10329010338552996,0.007253647314256236
3,2,5.801547725061365,1.7377681925808202,500,Dirichlet(alpha=0.5),0.10346540219031086,0.007099867448632944
3,2,5.801547725061365,1.7377681925808202,1000,MLE,0.026137634562679462,0.0008906307714860486
3,2,5.801547725061365,1.7377681925808202,1000,Dirichlet(alpha=0.5),0.024888133564675598,0.0007298850797781472
3,3,5.801547725061365,1.7377681925808202,10,MLE,0.45270989661447,0.902438422773581
3,3,5.801547725061365,1.7377681925808202,10,Dirichlet(alpha=0.5),0.36970850037696923,0.1323786163554494
3,3,5.801547725061365,1.7377681925808202,25,MLE,0.066375167043636,0.006083871759284366
3,3,5.801547725061365,1.7377681925808202,25,Dirichlet(alpha=0.5),0.1084597547031786,0.019425186213812763
3,3,5.801547725061365,1.7377681925808202,50,MLE,0.08619709500815453,0.0092178886227521
3,3,5.801547725061365,1.7377681925808202,50,Dirichlet(alpha=0.5),0.08927401808507765,0.009971699884699588
3,3,5.801547725061365,1.7377681925808202,100,MLE,0.03270989661447006,0.004423993310518803
3,3,5.801547725061365,1.7377681925808202,100,Dirichlet(alpha=0.5),0.029180484849764158,0.0032728918889140465
3,3,5.801547725061365,1.7377681925808202,250,MLE,0.07529010338552994,0.005672285331227768
3,3,5.801547725061365,1.7377681925808202,250,Dirichlet(alpha=0.5),0.07586153195695852,0.00549654734472606
3,3,5.801547725061365,1.7377681925808202,500,MLE,0.03142773794820953,0.010437733496768676
3,3,5.801547725061365,1.7377681925808202,500,Dirichlet(alpha=0.5),0.02949945109561975,0.008800258911894204
3,3,5.801547725061365,1.7377681925808202,1000,MLE,0.010709896614470051,0.0004986110232615324
3,3,5.801547725061365,1.7377681925808202,1000,Dirichlet(alpha=0.5),0.010394527352993,0.0004439437968559944
3,4,5.801547725061365,1.7377681925808202,10,MLE,0.1661970950081546,0.8149381328613514
3,4,5.801547725061365,1.7377681925808202,10,Dirichlet(alpha=0.5),0.2195708658142898,0.07183206450438845
3,4,5.801547725061365,1.7377681925808202,25,MLE,0.12623753248095643,0.02384829114704713
3,4,5.801547725061365,1.7377681925808202,25,Dirichlet(alpha=0.5),0.18253382877725272,0.04177995898717908
