state_group,target_id,seed,N,noise,theta1,phi1,theta2,phi2,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
uniform,0,0,100,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.986561043854401,0.01343895614559898,,,,,,,,,
uniform,0,0,100,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9514408428325826,0.04855915716741743,12.0,8.0,0.0,1.0,12.0,11.0,0.0,37.0,19.0
uniform,0,0,100,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,100,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9401634120675706,0.05983658793242941,,,,,,,,,
uniform,0,0,100,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9909548157108125,0.009045184289187547,,,,,,,,,
uniform,0,0,100,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9954808461368955,0.00451915386310453,15.0,6.0,0.0,3.0,9.0,10.0,0.0,40.0,17.0
uniform,0,0,100,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,100,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9440290864308186,0.05597091356918138,,,,,,,,,
uniform,0,0,100,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.976673371386574,0.023326628613426048,,,,,,,,,
uniform,0,0,100,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.957447571147541,0.04255242885245902,9.0,9.0,0.0,6.0,8.0,11.0,0.0,41.0,16.0
uniform,0,0,100,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,0,100,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9476722414878289,0.052327758512171085,,,,,,,,,
uniform,0,0,100,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.8779244745356509,0.12207552546434908,,,,,,,,,
uniform,0,0,100,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9744774824194646,0.025522517580535364,13.0,5.0,0.0,6.0,7.0,11.0,0.0,43.0,15.0
uniform,0,1,5,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,5,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.8504020447112614,0.14959795528873865,,,,,,,,,
uniform,0,1,5,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.7935203953073584,0.2064796046926416,,,,,,,,,
uniform,0,1,5,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9776315740476131,0.02236842595238686,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
uniform,0,1,5,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,5,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.42084178497527674,0.5791582150247232,,,,,,,,,
uniform,0,1,5,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.35247338121467725,0.6475266187853228,,,,,,,,,
uniform,0,1,5,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.38080164285273416,0.6191983571472659,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
uniform,0,1,5,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,5,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.8504020447112614,0.14959795528873865,,,,,,,,,
uniform,0,1,5,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.5800597742109925,0.41994022578900747,,,,,,,,,
uniform,0,1,5,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.38552596117702903,0.614474038822971,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
uniform,0,1,5,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.2693214047577643,0.7306785952422357,,,,,,,,,
uniform,0,1,5,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.8504020447112614,0.14959795528873865,,,,,,,,,
uniform,0,1,5,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.5800597742109925,0.41994022578900747,,,,,,,,,
uniform,0,1,5,0.15,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.653212079231253,0.346787920768747,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
uniform,0,1,10,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,10,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9172561907669295,0.08274380923307045,,,,,,,,,
uniform,0,1,10,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.9401213113808019,0.059878688619198095,,,,,,,,,
uniform,0,1,10,0.0,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.9358041342036372,0.06419586579636283,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0
uniform,0,1,10,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,10,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.9413678777420238,0.058632122257976205,,,,,,,,,
uniform,0,1,10,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.7651722889043268,0.23482771109567324,,,,,,,,,
uniform,0,1,10,0.05,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,RL_adaptive,0.43926446153988524,0.5607355384601147,1.0,1.0,2.0,3.0,1.0,0.0,0.0,1.0,1.0
uniform,0,1,10,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,Z_only,0.7278764814236143,0.2721235185763857,,,,,,,,,
uniform,0,1,10,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,ZX_split,0.8372322498784218,0.16276775012157818,,,,,,,,,
uniform,0,1,10,0.1,0.10591949806757925,2.9183263451390653,1.0929772502862807,0.4977851689051719,XYZ_split,0.7303886781294975,0.2696113218705025,,,,,,,,,
