state_group,state1,state2,seed,N,noise,method,fidelity,infidelity,shots_ZZ,shots_ZX,shots_ZY,shots_XZ,shots_XX,shots_XY,shots_YZ,shots_YX,shots_YY
extreme,Z_plus,Z_plus,1,10,0.0,XYZ_split,0.9493416490252569,0.05065835097474314,,,,,,,,,
extreme,Z_plus,Z_plus,1,10,0.0,RL_adaptive,0.7886751345948129,0.21132486540518713,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,1,10,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,10,0.05,ZX_split,0.9648811207901243,0.035118879209875664,,,,,,,,,
extreme,Z_plus,Z_plus,1,10,0.05,XYZ_split,0.8316526181217495,0.1683473818782505,,,,,,,,,
extreme,Z_plus,Z_plus,1,10,0.05,RL_adaptive,0.947213595499958,0.05278640450004202,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,1,10,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,10,0.1,ZX_split,0.845265675539751,0.15473432446024904,,,,,,,,,
extreme,Z_plus,Z_plus,1,10,0.1,XYZ_split,0.72050456154763,0.27949543845237,,,,,,,,,
extreme,Z_plus,Z_plus,1,10,0.1,RL_adaptive,0.6669559632834724,0.3330440367165276,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,1,10,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,10,0.15,ZX_split,0.845265675539751,0.15473432446024904,,,,,,,,,
extreme,Z_plus,Z_plus,1,10,0.15,XYZ_split,0.12500000000000006,0.875,,,,,,,,,
extreme,Z_plus,Z_plus,1,10,0.15,RL_adaptive,0.5690355937288492,0.43096440627115085,1.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0
extreme,Z_plus,Z_plus,1,25,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,25,0.0,ZX_split,0.9970566545154969,0.002943345484503146,,,,,,,,,
extreme,Z_plus,Z_plus,1,25,0.0,XYZ_split,0.910572071647354,0.08942792835264601,,,,,,,,,
extreme,Z_plus,Z_plus,1,25,0.0,RL_adaptive,0.9726651767150143,0.02733482328498571,1.0,0.0,5.0,8.0,1.0,0.0,0.0,7.0,3.0
extreme,Z_plus,Z_plus,1,25,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,25,0.05,ZX_split,0.9542951357805495,0.045704864219450525,,,,,,,,,
extreme,Z_plus,Z_plus,1,25,0.05,XYZ_split,0.9368669702165933,0.06313302978340674,,,,,,,,,
extreme,Z_plus,Z_plus,1,25,0.05,RL_adaptive,0.9853138781865595,0.014686121813440534,1.0,0.0,6.0,6.0,2.0,0.0,3.0,6.0,1.0
extreme,Z_plus,Z_plus,1,25,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,25,0.1,ZX_split,0.9382453905202376,0.06175460947976241,,,,,,,,,
extreme,Z_plus,Z_plus,1,25,0.1,XYZ_split,0.785176637101704,0.21482336289829596,,,,,,,,,
extreme,Z_plus,Z_plus,1,25,0.1,RL_adaptive,0.9266959130314673,0.07330408696853274,1.0,0.0,6.0,7.0,1.0,0.0,2.0,6.0,2.0
extreme,Z_plus,Z_plus,1,25,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,25,0.15,ZX_split,0.9952365642050943,0.004763435794905679,,,,,,,,,
extreme,Z_plus,Z_plus,1,25,0.15,XYZ_split,0.4450997431429271,0.5549002568570729,,,,,,,,,
extreme,Z_plus,Z_plus,1,25,0.15,RL_adaptive,0.9331732341435384,0.06682676585646163,2.0,0.0,5.0,3.0,5.0,0.0,5.0,3.0,2.0
extreme,Z_plus,Z_plus,1,50,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,50,0.0,ZX_split,0.9960403215293758,0.003959678470624173,,,,,,,,,
extreme,Z_plus,Z_plus,1,50,0.0,XYZ_split,0.9814890969048997,0.018510903095100284,,,,,,,,,
extreme,Z_plus,Z_plus,1,50,0.0,RL_adaptive,0.9780494339209014,0.02195056607909862,13.0,0.0,3.0,0.0,5.0,8.0,2.0,14.0,5.0
extreme,Z_plus,Z_plus,1,50,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,50,0.05,ZX_split,0.9914310639190294,0.008568936080970646,,,,,,,,,
extreme,Z_plus,Z_plus,1,50,0.05,XYZ_split,0.9861290081443904,0.013870991855609582,,,,,,,,,
extreme,Z_plus,Z_plus,1,50,0.05,RL_adaptive,0.9123184714341016,0.08768152856589839,13.0,2.0,1.0,0.0,2.0,12.0,1.0,17.0,2.0
extreme,Z_plus,Z_plus,1,50,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,50,0.1,ZX_split,0.9820887569890788,0.017911243010921174,,,,,,,,,
extreme,Z_plus,Z_plus,1,50,0.1,XYZ_split,0.9001453767228781,0.09985462327712191,,,,,,,,,
extreme,Z_plus,Z_plus,1,50,0.1,RL_adaptive,0.9117176298366024,0.08828237016339757,14.0,1.0,0.0,0.0,6.0,6.0,1.0,13.0,9.0
extreme,Z_plus,Z_plus,1,50,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,50,0.15,ZX_split,0.9281046197970244,0.07189538020297559,,,,,,,,,
extreme,Z_plus,Z_plus,1,50,0.15,XYZ_split,0.8683758543174354,0.13162414568256464,,,,,,,,,
extreme,Z_plus,Z_plus,1,50,0.15,RL_adaptive,0.9347911670283842,0.06520883297161584,13.0,2.0,1.0,0.0,5.0,9.0,1.0,12.0,7.0
extreme,Z_plus,Z_plus,1,100,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,100,0.0,ZX_split,0.9948517298328639,0.005148270167136149,,,,,,,,,
extreme,Z_plus,Z_plus,1,100,0.0,XYZ_split,0.985683563609906,0.014316436390093945,,,,,,,,,
extreme,Z_plus,Z_plus,1,100,0.0,RL_adaptive,0.9681728687460817,0.03182713125391834,12.0,7.0,0.0,7.0,6.0,11.0,0.0,40.0,17.0
extreme,Z_plus,Z_plus,1,100,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,100,0.05,ZX_split,0.9813220833406137,0.01867791665938634,,,,,,,,,
extreme,Z_plus,Z_plus,1,100,0.05,XYZ_split,0.9789779212085251,0.021022078791474885,,,,,,,,,
extreme,Z_plus,Z_plus,1,100,0.05,RL_adaptive,0.9688599379668473,0.03114006203315267,12.0,7.0,0.0,6.0,8.0,12.0,0.0,39.0,16.0
extreme,Z_plus,Z_plus,1,100,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,100,0.1,ZX_split,0.9913735881722374,0.008626411827762581,,,,,,,,,
extreme,Z_plus,Z_plus,1,100,0.1,XYZ_split,0.960544623396444,0.039455376603556025,,,,,,,,,
extreme,Z_plus,Z_plus,1,100,0.1,RL_adaptive,0.8859605642346019,0.1140394357653981,14.0,6.0,0.0,0.0,14.0,10.0,0.0,35.0,21.0
extreme,Z_plus,Z_plus,1,100,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,1,100,0.15,ZX_split,0.9984466975314479,0.0015533024685521202,,,,,,,,,
extreme,Z_plus,Z_plus,1,100,0.15,XYZ_split,0.9083642104375904,0.09163578956240959,,,,,,,,,
extreme,Z_plus,Z_plus,1,100,0.15,RL_adaptive,0.9684212919211572,0.031578708078842777,15.0,7.0,0.0,6.0,7.0,11.0,0.0,35.0,19.0
extreme,Z_plus,Z_plus,2,5,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,5,0.0,ZX_split,0.7285533905932737,0.27144660940672627,,,,,,,,,
extreme,Z_plus,Z_plus,2,5,0.0,XYZ_split,0.7125446534374215,0.28745534656257854,,,,,,,,,
extreme,Z_plus,Z_plus,2,5,0.0,RL_adaptive,0.6731763352100091,0.3268236647899909,1.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,2,5,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,5,0.05,ZX_split,0.9493416490252569,0.05065835097474314,,,,,,,,,
extreme,Z_plus,Z_plus,2,5,0.05,XYZ_split,0.665739294480206,0.33426070551979403,,,,,,,,,
extreme,Z_plus,Z_plus,2,5,0.05,RL_adaptive,0.8535533905932737,0.14644660940672627,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,2,5,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,5,0.1,ZX_split,0.9493416490252569,0.05065835097474314,,,,,,,,,
extreme,Z_plus,Z_plus,2,5,0.1,XYZ_split,0.7125446534374215,0.28745534656257854,,,,,,,,,
extreme,Z_plus,Z_plus,2,5,0.1,RL_adaptive,0.18037705538326468,0.8196229446167353,1.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,2,5,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,5,0.15,ZX_split,0.48717082451262855,0.5128291754873715,,,,,,,,,
extreme,Z_plus,Z_plus,2,5,0.15,XYZ_split,0.665739294480206,0.33426070551979403,,,,,,,,,
extreme,Z_plus,Z_plus,2,5,0.15,RL_adaptive,0.665739294480206,0.33426070551979403,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,2,10,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,10,0.0,ZX_split,0.9197286484747138,0.0802713515252862,,,,,,,,,
extreme,Z_plus,Z_plus,2,10,0.0,XYZ_split,0.9493416490252569,0.05065835097474314,,,,,,,,,
extreme,Z_plus,Z_plus,2,10,0.0,RL_adaptive,0.6944444444444443,0.3055555555555557,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,2,10,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,10,0.05,ZX_split,0.9806749532300754,0.019325046769924636,,,,,,,,,
extreme,Z_plus,Z_plus,2,10,0.05,XYZ_split,0.7925852912651827,0.20741470873481727,,,,,,,,,
extreme,Z_plus,Z_plus,2,10,0.05,RL_adaptive,1.0,0.0,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,2,10,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,10,0.1,ZX_split,0.592251125784199,0.40774887421580097,,,,,,,,,
extreme,Z_plus,Z_plus,2,10,0.1,XYZ_split,0.6263624886590937,0.3736375113409063,,,,,,,,,
extreme,Z_plus,Z_plus,2,10,0.1,RL_adaptive,0.897213595499958,0.10278640450004195,1.0,0.0,3.0,3.0,1.0,0.0,0.0,1.0,1.0
extreme,Z_plus,Z_plus,2,10,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,10,0.15,ZX_split,0.7285533905932737,0.27144660940672627,,,,,,,,,
extreme,Z_plus,Z_plus,2,10,0.15,XYZ_split,0.6187796875302776,0.38122031246972243,,,,,,,,,
extreme,Z_plus,Z_plus,2,10,0.15,RL_adaptive,0.6495610993501713,0.35043890064982874,1.0,0.0,3.0,2.0,1.0,0.0,0.0,2.0,1.0
extreme,Z_plus,Z_plus,2,25,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,25,0.0,ZX_split,0.9970566545154969,0.002943345484503146,,,,,,,,,
extreme,Z_plus,Z_plus,2,25,0.0,XYZ_split,0.8845356713638034,0.1154643286361966,,,,,,,,,
extreme,Z_plus,Z_plus,2,25,0.0,RL_adaptive,0.8916887881981719,0.10831121180182812,1.0,0.0,6.0,0.0,8.0,0.0,8.0,0.0,2.0
extreme,Z_plus,Z_plus,2,25,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,25,0.05,ZX_split,0.979786736062338,0.020213263937661985,,,,,,,,,
extreme,Z_plus,Z_plus,2,25,0.05,XYZ_split,0.9004589986149402,0.09954100138505984,,,,,,,,,
extreme,Z_plus,Z_plus,2,25,0.05,RL_adaptive,0.7508799833481337,0.24912001665186634,2.0,0.0,5.0,5.0,4.0,0.0,2.0,3.0,4.0
extreme,Z_plus,Z_plus,2,25,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,25,0.1,ZX_split,0.9542951357805495,0.045704864219450525,,,,,,,,,
extreme,Z_plus,Z_plus,2,25,0.1,XYZ_split,0.9156686609080665,0.08433133909193347,,,,,,,,,
extreme,Z_plus,Z_plus,2,25,0.1,RL_adaptive,0.9355214320238855,0.06447856797611451,1.0,0.0,6.0,3.0,4.0,0.0,7.0,3.0,1.0
extreme,Z_plus,Z_plus,2,25,0.15,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,25,0.15,ZX_split,0.9525747117428661,0.04742528825713388,,,,,,,,,
extreme,Z_plus,Z_plus,2,25,0.15,XYZ_split,0.9403667219205781,0.05963327807942187,,,,,,,,,
extreme,Z_plus,Z_plus,2,25,0.15,RL_adaptive,0.7979724088294631,0.20202759117053692,1.0,0.0,6.0,7.0,1.0,0.0,1.0,8.0,1.0
extreme,Z_plus,Z_plus,2,50,0.0,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,50,0.0,ZX_split,0.9960403215293758,0.003959678470624173,,,,,,,,,
extreme,Z_plus,Z_plus,2,50,0.0,XYZ_split,0.9466344499863161,0.05336555001368393,,,,,,,,,
extreme,Z_plus,Z_plus,2,50,0.0,RL_adaptive,0.9304216073914596,0.06957839260854037,14.0,0.0,0.0,0.0,4.0,11.0,0.0,15.0,6.0
extreme,Z_plus,Z_plus,2,50,0.05,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,50,0.05,ZX_split,0.994411659640046,0.005588340359954036,,,,,,,,,
extreme,Z_plus,Z_plus,2,50,0.05,XYZ_split,0.9880786401324226,0.011921359867577364,,,,,,,,,
extreme,Z_plus,Z_plus,2,50,0.05,RL_adaptive,0.8943260802124595,0.10567391978754048,12.0,4.0,0.0,0.0,5.0,7.0,4.0,11.0,7.0
extreme,Z_plus,Z_plus,2,50,0.1,Z_only,1.0,0.0,,,,,,,,,
extreme,Z_plus,Z_plus,2,50,0.1,ZX_split,0.9934844064993855,0.0065155935006144805,,,,,,,,,
extreme,Z_plus,Z_plus,2,50,0.1,XYZ_split,0.9754675570342894,0.024532442965710555,,,,,,,,,
extreme,Z_plus,Z_plus,2,50,0.1,RL_adaptive,0.8929314945482962,0.10706850545170377,13.0,3.0,0.0,0.0,5.0,10.0,1.0,13.0,5.0
extreme,Z_plus,Z_plus,2,50,0.15,Z_only,1.0,0.0,,,,,,,,,
